scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2071,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2072,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2073,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2074,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2075,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2076,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2077,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2078,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2079,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2080,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2081,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2082,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2083,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2084,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2085,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2086,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2087,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2088,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2089,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2090,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2091,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2092,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2093,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2094,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2095,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2096,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2097,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2098,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2099,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BGD,Bangladesh,2100,0,0,<NA>,<NA>,0.9
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1980,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1981,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1982,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1983,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1984,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1985,0,0,<NA>,<NA>,0
